distance_m,lat,lon,altitude_m,grade_pct
745,36.703958,-4.432322,37.4,-0.02
750,36.703997,-4.432294,37.4,0.00
755,36.704036,-4.432263,37.4,0.00
760,36.704074,-4.432233,37.4,0.00
765,36.704112,-4.432203,37.4,0.00
770,36.704152,-4.432173,37.4,0.00
775,36.704189,-4.432142,37.4,0.00
780,36.704227,-4.432113,37.4,0.00
785,36.704266,-4.432084,37.4,0.00
790,36.704304,-4.432054,37.4,0.00
795,36.704342,-4.432026,37.4,0.00
800,36.704380,-4.431998,37.4,0.00
805,36.704419,-4.431972,37.4,0.00
810,36.704457,-4.431940,37.4,0.00
815,36.704496,-4.431910,37.4,0.00
820,36.704533,-4.431880,37.4,0.00
825,36.704570,-4.431850,37.4,0.00
830,36.704609,-4.431819,37.4,0.00
835,36.704647,-4.431791,37.4,0.00
840,36.704685,-4.431761,37.4,0.00
845,36.704723,-4.431731,37.4,0.00
850,36.704763,-4.431700,37.4,0.00
855,36.704802,-4.431670,37.4,0.00
860,36.704837,-4.431638,37.4,0.00
865,36.704876,-4.431609,37.4,0.00
870,36.704914,-4.431580,37.4,0.00
875,36.704952,-4.431550,37.4,0.00
880,36.704991,-4.431520,37.4,0.00
885,36.705030,-4.431490,37.4,0.00
890,36.705067,-4.431460,37.4,0.00
895,36.705104,-4.431429,37.4,0.00
900,36.705141,-4.431398,37.4,0.00
905,36.705178,-4.431368,37.4,0.00
910,36.705216,-4.431338,37.4,0.00
915,36.705253,-4.431308,37.4,0.00
920,36.705293,-4.431278,37.4,0.00
925,36.705329,-4.431247,37.4,0.00
930,36.705367,-4.431215,37.4,0.00
935,36.705404,-4.431182,37.4,0.00
940,36.705442,-4.431150,37.4,0.00
945,36.705477,-4.431118,37.4,0.00
950,36.705514,-4.431086,37.4,0.00
955,36.705552,-4.431054,37.4,0.00
960,36.705590,-4.431022,37.4,0.00
965,36.705628,-4.430992,37.4,0.00
970,36.705666,-4.430962,37.4,0.00
975,36.705703,-4.430930,37.4,0.00
980,36.705738,-4.430898,37.4,0.00
985,36.705775,-4.430867,37.4,0.02
990,36.705815,-4.430837,37.4,0.08
995,36.705853,-4.430806,37.4,0.14
1000,36.705891,-4.430775,37.4,0.20
1005,36.705927,-4.430743,37.4,0.26
1010,36.705963,-4.430712,37.4,0.32
1015,36.706001,-4.430679,37.5,0.36
1020,36.706039,-4.430647,37.5,0.36
1025,36.706075,-4.430616,37.5,0.36
1030,36.706113,-4.430584,37.5,0.36
1035,36.706148,-4.430553,37.5,0.36
1040,36.706186,-4.430520,37.6,0.35
1045,36.706222,-4.430485,37.6,0.29
1050,36.706258,-4.430451,37.6,0.22
1055,36.706295,-4.430420,37.6,0.16
1060,36.706330,-4.430388,37.6,0.10
1065,36.706369,-4.430357,37.6,0.04
1070,36.706407,-4.430327,37.6,0.00
1075,36.706444,-4.430296,37.6,0.00
1080,36.706480,-4.430263,37.6,0.00
1085,36.706518,-4.430230,37.6,0.00
1090,36.706554,-4.430198,37.6,0.00
1095,36.706590,-4.430166,37.6,0.00
1100,36.706628,-4.430135,37.6,0.02
1105,36.706666,-4.430102,37.6,0.08
1110,36.706701,-4.430069,37.6,0.14
1115,36.706738,-4.430037,37.6,0.20
1120,36.706776,-4.430005,37.6,0.26
1125,36.706814,-4.429973,37.6,0.32
1130,36.706848,-4.429941,37.7,0.36
1135,36.706885,-4.429909,37.7,0.36
1140,36.706922,-4.429877,37.7,0.36
1145,36.706960,-4.429846,37.7,0.36
1150,36.706998,-4.429814,37.7,0.36
1155,36.707034,-4.429781,37.8,0.37
1160,36.707071,-4.429749,37.8,0.37
1165,36.707109,-4.429717,37.8,0.37
1170,36.707146,-4.429685,37.8,0.37
1175,36.707179,-4.429651,37.8,0.37
1180,36.707215,-4.429618,37.8,0.37
1185,36.707253,-4.429585,37.9,0.36
1190,36.707288,-4.429551,37.9,0.36
1195,36.707330,-4.429517,37.9,0.36
1200,36.707371,-4.429483,37.9,0.36
1205,36.707408,-4.429450,37.9,0.36
1210,36.707446,-4.429418,38.0,0.33
1215,36.707480,-4.429384,38.0,0.27
1220,36.707517,-4.429351,38.0,0.21
1225,36.707554,-4.429317,38.0,0.15
1230,36.707589,-4.429284,38.0,0.09
1235,36.707626,-4.429252,38.0,0.03
1240,36.707664,-4.429220,38.0,0.00
1245,36.707700,-4.429188,38.0,0.00
1250,36.707738,-4.429156,38.0,0.00
1255,36.707775,-4.429124,38.0,0.00
1260,36.707811,-4.429092,38.0,0.00
1265,36.707848,-4.429061,38.0,0.00
1270,36.707887,-4.429029,38.0,0.00
1275,36.707923,-4.428996,38.0,0.00
